id,name,discount_policy,sequence,currency_id/id,item_ids/applied_on,item_ids/base,item_ids/compute_price,item_ids/min_quantity,item_ids/fixed_price,item_ids/product_tmpl_id/id
init.product_pricelist_Insurance_Emergency,Insurance Pay - Emergency,Discount included in the price,16,base.HTG,Product,Public Price,Fix Price,1,400,hsc_AcideUrique
,,,,,Product,Public Price,Fix Price,1,400,hsc_AnthraxCutané-SkinTest
,,,,,Product,Public Price,Fix Price,1,400,hsc_AnthraxGastrointestinal-BloodTestorStoolTest
,,,,,Product,Public Price,Fix Price,1,400,hsc_ADT(SGPT)
,,,,,Product,Public Price,Fix Price,1,400,hsc_Albumine
,,,,,Product,Public Price,Fix Price,1,550,hsc_Amylase
,,,,,Product,Public Price,Fix Price,1,400,hsc_ASO(AntistreptolysineO)
,,,,,Product,Public Price,Fix Price,1,400,hsc_AST(SGOT)
,,,,,Product,Public Price,Fix Price,1,400,hsc_AzotedelUrée(BUN)
,,,,,Product,Public Price,Fix Price,1,350,hsc_BHCG
,,,,,Product,Public Price,Fix Price,1,2000,hsc_BilanHépatique(AST-ALT-TBil-ALKP-LDH)
,,,,,Product,Public Price,Fix Price,1,1750,hsc_BilanLipidique(Chol-Trig-HDLC-LDL-VLDL)
,,,,,Product,Public Price,Fix Price,1,1500,hsc_BilanPré-Opératoire(Hemogramme-ABO&RB-PT&INR)
,,,,,Product,Public Price,Fix Price,1,4500,hsc_BilanRenal(BUN-Creat-Urée-AcideUrique)
,,,,,Product,Public Price,Fix Price,1,6000,hsc_BilanThyroïdien
,,,,,Product,Public Price,Fix Price,1,300,hsc_BilirubineTotale
,,,,,Product,Public Price,Fix Price,1,300,hsc_Calcium(Ca)
,,,,,Product,Public Price,Fix Price,1,1000,hsc_ChimieSanguine(Glycemie-BUN-Urée-Créatine)
,,,,,Product,Public Price,Fix Price,1,300,hsc_Chlore(Cl)
,,,,,Product,Public Price,Fix Price,1,300,hsc_Cholesterol
,,,,,Product,Public Price,Fix Price,1,400,hsc_CO₂
,,,,,Product,Public Price,Fix Price,1,400,hsc_Crachat
,,,,,Product,Public Price,Fix Price,1,300,hsc_Créatinine(CRSC)
,,,,,Product,Public Price,Fix Price,1,450,hsc_CréatinineKinase(CK)
,,,,,Product,Public Price,Fix Price,1,450,hsc_CréatinineKinaseMB
